filepath,label
data/images/normal/normal_000.png,normal
data/images/normal/normal_001.png,normal
data/images/normal/normal_002.png,normal
data/images/normal/normal_003.png,normal
data/images/normal/normal_004.png,normal
data/images/normal/normal_005.png,normal
data/images/normal/normal_006.png,normal
data/images/normal/normal_007.png,normal
data/images/normal/normal_008.png,normal
data/images/normal/normal_009.png,normal
data/images/normal/normal_010.png,normal
data/images/normal/normal_011.png,normal
data/images/normal/normal_012.png,normal
data/images/normal/normal_013.png,normal
data/images/normal/normal_014.png,normal
data/images/normal/normal_015.png,normal
data/images/normal/normal_016.png,normal
data/images/normal/normal_017.png,normal
data/images/normal/normal_018.png,normal
data/images/normal/normal_019.png,normal
data/images/normal/normal_020.png,normal
data/images/normal/normal_021.png,normal
data/images/normal/normal_022.png,normal
data/images/normal/normal_023.png,normal
data/images/normal/normal_024.png,normal
data/images/normal/normal_025.png,normal
data/images/normal/normal_026.png,normal
data/images/normal/normal_027.png,normal
data/images/normal/normal_028.png,normal
data/images/normal/normal_029.png,normal
data/images/normal/normal_030.png,normal
data/images/normal/normal_031.png,normal
data/images/normal/normal_032.png,normal
data/images/normal/normal_033.png,normal
data/images/normal/normal_034.png,normal
data/images/normal/normal_035.png,normal
data/images/normal/normal_036.png,normal
data/images/normal/normal_037.png,normal
data/images/normal/normal_038.png,normal
data/images/normal/normal_039.png,normal
data/images/normal/normal_040.png,normal
data/images/normal/normal_041.png,normal
data/images/normal/normal_042.png,normal
data/images/normal/normal_043.png,normal
data/images/normal/normal_044.png,normal
data/images/normal/normal_045.png,normal
data/images/normal/normal_046.png,normal
data/images/normal/normal_047.png,normal
data/images/normal/normal_048.png,normal
data/images/normal/normal_049.png,normal
data/images/normal/normal_050.png,normal
data/images/normal/normal_051.png,normal
data/images/normal/normal_052.png,normal
data/images/normal/normal_053.png,normal
data/images/normal/normal_054.png,normal
data/images/normal/normal_055.png,normal
data/images/normal/normal_056.png,normal
data/images/normal/normal_057.png,normal
data/images/normal/normal_058.png,normal
data/images/normal/normal_059.png,normal
data/images/normal/normal_060.png,normal
data/images/normal/normal_061.png,normal
data/images/normal/normal_062.png,normal
data/images/normal/normal_063.png,normal
data/images/normal/normal_064.png,normal
data/images/normal/normal_065.png,normal
data/images/normal/normal_066.png,normal
data/images/normal/normal_067.png,normal
data/images/normal/normal_068.png,normal
data/images/normal/normal_069.png,normal
data/images/normal/normal_070.png,normal
data/images/normal/normal_071.png,normal
data/images/normal/normal_072.png,normal
data/images/normal/normal_073.png,normal
data/images/normal/normal_074.png,normal
data/images/normal/normal_075.png,normal
data/images/normal/normal_076.png,normal
data/images/normal/normal_077.png,normal
data/images/normal/normal_078.png,normal
data/images/normal/normal_079.png,normal
data/images/damaged/damaged_000.png,damaged
data/images/damaged/damaged_001.png,damaged
data/images/damaged/damaged_002.png,damaged
data/images/damaged/damaged_003.png,damaged
data/images/damaged/damaged_004.png,damaged
data/images/damaged/damaged_005.png,damaged
data/images/damaged/damaged_006.png,damaged
data/images/damaged/damaged_007.png,damaged
data/images/damaged/damaged_008.png,damaged
data/images/damaged/damaged_009.png,damaged
data/images/damaged/damaged_010.png,damaged
data/images/damaged/damaged_011.png,damaged
data/images/damaged/damaged_012.png,damaged
data/images/damaged/damaged_013.png,damaged
data/images/damaged/damaged_014.png,damaged
data/images/damaged/damaged_015.png,damaged
data/images/damaged/damaged_016.png,damaged
data/images/damaged/damaged_017.png,damaged
data/images/damaged/damaged_018.png,damaged
data/images/damaged/damaged_019.png,damaged
data/images/damaged/damaged_020.png,damaged
data/images/damaged/damaged_021.png,damaged
data/images/damaged/damaged_022.png,damaged
data/images/damaged/damaged_023.png,damaged
data/images/damaged/damaged_024.png,damaged
data/images/damaged/damaged_025.png,damaged
data/images/damaged/damaged_026.png,damaged
data/images/damaged/damaged_027.png,damaged
data/images/damaged/damaged_028.png,damaged
data/images/damaged/damaged_029.png,damaged
data/images/damaged/damaged_030.png,damaged
data/images/damaged/damaged_031.png,damaged
data/images/damaged/damaged_032.png,damaged
data/images/damaged/damaged_033.png,damaged
data/images/damaged/damaged_034.png,damaged
data/images/damaged/damaged_035.png,damaged
data/images/damaged/damaged_036.png,damaged
data/images/damaged/damaged_037.png,damaged
data/images/damaged/damaged_038.png,damaged
data/images/damaged/damaged_039.png,damaged
data/images/damaged/damaged_040.png,damaged
data/images/damaged/damaged_041.png,damaged
data/images/damaged/damaged_042.png,damaged
data/images/damaged/damaged_043.png,damaged
data/images/damaged/damaged_044.png,damaged
data/images/damaged/damaged_045.png,damaged
data/images/damaged/damaged_046.png,damaged
data/images/damaged/damaged_047.png,damaged
data/images/damaged/damaged_048.png,damaged
data/images/damaged/damaged_049.png,damaged
data/images/damaged/damaged_050.png,damaged
data/images/damaged/damaged_051.png,damaged
data/images/damaged/damaged_052.png,damaged
data/images/damaged/damaged_053.png,damaged
data/images/damaged/damaged_054.png,damaged
data/images/damaged/damaged_055.png,damaged
data/images/damaged/damaged_056.png,damaged
data/images/damaged/damaged_057.png,damaged
data/images/damaged/damaged_058.png,damaged
data/images/damaged/damaged_059.png,damaged
data/images/damaged/damaged_060.png,damaged
data/images/damaged/damaged_061.png,damaged
data/images/damaged/damaged_062.png,damaged
data/images/damaged/damaged_063.png,damaged
data/images/damaged/damaged_064.png,damaged
data/images/damaged/damaged_065.png,damaged
data/images/damaged/damaged_066.png,damaged
data/images/damaged/damaged_067.png,damaged
data/images/damaged/damaged_068.png,damaged
data/images/damaged/damaged_069.png,damaged
data/images/damaged/damaged_070.png,damaged
data/images/damaged/damaged_071.png,damaged
data/images/damaged/damaged_072.png,damaged
data/images/damaged/damaged_073.png,damaged
data/images/damaged/damaged_074.png,damaged
data/images/damaged/damaged_075.png,damaged
data/images/damaged/damaged_076.png,damaged
data/images/damaged/damaged_077.png,damaged
data/images/damaged/damaged_078.png,damaged
data/images/damaged/damaged_079.png,damaged
data/images/wrong_item/wrong_item_000.png,wrong_item
data/images/wrong_item/wrong_item_001.png,wrong_item
data/images/wrong_item/wrong_item_002.png,wrong_item
data/images/wrong_item/wrong_item_003.png,wrong_item
data/images/wrong_item/wrong_item_004.png,wrong_item
data/images/wrong_item/wrong_item_005.png,wrong_item
data/images/wrong_item/wrong_item_006.png,wrong_item
data/images/wrong_item/wrong_item_007.png,wrong_item
data/images/wrong_item/wrong_item_008.png,wrong_item
data/images/wrong_item/wrong_item_009.png,wrong_item
data/images/wrong_item/wrong_item_010.png,wrong_item
data/images/wrong_item/wrong_item_011.png,wrong_item
data/images/wrong_item/wrong_item_012.png,wrong_item
data/images/wrong_item/wrong_item_013.png,wrong_item
data/images/wrong_item/wrong_item_014.png,wrong_item
data/images/wrong_item/wrong_item_015.png,wrong_item
data/images/wrong_item/wrong_item_016.png,wrong_item
data/images/wrong_item/wrong_item_017.png,wrong_item
data/images/wrong_item/wrong_item_018.png,wrong_item
data/images/wrong_item/wrong_item_019.png,wrong_item
data/images/wrong_item/wrong_item_020.png,wrong_item
data/images/wrong_item/wrong_item_021.png,wrong_item
data/images/wrong_item/wrong_item_022.png,wrong_item
data/images/wrong_item/wrong_item_023.png,wrong_item
data/images/wrong_item/wrong_item_024.png,wrong_item
data/images/wrong_item/wrong_item_025.png,wrong_item
data/images/wrong_item/wrong_item_026.png,wrong_item
data/images/wrong_item/wrong_item_027.png,wrong_item
data/images/wrong_item/wrong_item_028.png,wrong_item
data/images/wrong_item/wrong_item_029.png,wrong_item
data/images/wrong_item/wrong_item_030.png,wrong_item
data/images/wrong_item/wrong_item_031.png,wrong_item
data/images/wrong_item/wrong_item_032.png,wrong_item
data/images/wrong_item/wrong_item_033.png,wrong_item
data/images/wrong_item/wrong_item_034.png,wrong_item
data/images/wrong_item/wrong_item_035.png,wrong_item
data/images/wrong_item/wrong_item_036.png,wrong_item
data/images/wrong_item/wrong_item_037.png,wrong_item
data/images/wrong_item/wrong_item_038.png,wrong_item
data/images/wrong_item/wrong_item_039.png,wrong_item
data/images/wrong_item/wrong_item_040.png,wrong_item
data/images/wrong_item/wrong_item_041.png,wrong_item
data/images/wrong_item/wrong_item_042.png,wrong_item
data/images/wrong_item/wrong_item_043.png,wrong_item
data/images/wrong_item/wrong_item_044.png,wrong_item
data/images/wrong_item/wrong_item_045.png,wrong_item
data/images/wrong_item/wrong_item_046.png,wrong_item
data/images/wrong_item/wrong_item_047.png,wrong_item
data/images/wrong_item/wrong_item_048.png,wrong_item
data/images/wrong_item/wrong_item_049.png,wrong_item
data/images/wrong_item/wrong_item_050.png,wrong_item
data/images/wrong_item/wrong_item_051.png,wrong_item
data/images/wrong_item/wrong_item_052.png,wrong_item
data/images/wrong_item/wrong_item_053.png,wrong_item
data/images/wrong_item/wrong_item_054.png,wrong_item
data/images/wrong_item/wrong_item_055.png,wrong_item
data/images/wrong_item/wrong_item_056.png,wrong_item
data/images/wrong_item/wrong_item_057.png,wrong_item
data/images/wrong_item/wrong_item_058.png,wrong_item
data/images/wrong_item/wrong_item_059.png,wrong_item
data/images/wrong_item/wrong_item_060.png,wrong_item
data/images/wrong_item/wrong_item_061.png,wrong_item
data/images/wrong_item/wrong_item_062.png,wrong_item
data/images/wrong_item/wrong_item_063.png,wrong_item
data/images/wrong_item/wrong_item_064.png,wrong_item
data/images/wrong_item/wrong_item_065.png,wrong_item
data/images/wrong_item/wrong_item_066.png,wrong_item
data/images/wrong_item/wrong_item_067.png,wrong_item
data/images/wrong_item/wrong_item_068.png,wrong_item
